,Date,Favorite,Spread,Underdog,Total,Away Money Line,Home Money Line
0,2002-09-05 00:00:00,49ers,-3.5,at Giants,38.5,,
1,2002-09-08 00:00:00,at Raiders,-7.0,Seahawks,41.0,,
2,2002-09-08 00:00:00,at Buccaneers,-6.0,Saints,37.5,,
3,2002-09-08 00:00:00,at Titans,-1.0,Eagles,37.0,,
4,2002-09-08 00:00:00,at Redskins,-7.0,Cardinals,44.5,,
5,2002-09-08 00:00:00,Jets,-3.0,at Bills,40.5,,
6,2002-09-08 00:00:00,Ravens,-2.0,at Panthers,33.5,,
7,2002-09-08 00:00:00,at Bears,-4.5,Vikings,41.0,,
8,2002-09-08 00:00:00,at Bengals,-2.0,Chargers,38.0,,
9,2002-09-08 00:00:00,at Browns,-2.5,Chiefs,37.0,,
10,2002-09-08 00:00:00,Rams,-3.0,at Broncos,52.0,,
11,2002-09-08 00:00:00,at Packers,-7.0,Falcons,43.0,,
12,2002-09-08 00:00:00,Cowboys,-8.0,at Texans,33.5,,
13,2002-09-08 00:00:00,Colts,-3.5,at Jaguars,43.5,,
14,2002-09-08 00:00:00,at Dolphins,-8.5,Lions,36.0,,
15,2002-09-09 00:00:00,Steelers,-2.5,at Patriots,37.5,,
0,2002-09-15 00:00:00,at Falcons,-3.0,Bears,44.0,,
1,2002-09-15 00:00:00,Buccaneers,-3.5,at Ravens,32.5,,
2,2002-09-15 00:00:00,at Panthers,-3.0,Lions,37.0,,
3,2002-09-15 00:00:00,at Browns,-4.5,Bengals,39.0,,
4,2002-09-15 00:00:00,Titans,-3.0,at Cowboys,37.0,,
5,2002-09-15 00:00:00,at Colts,-2.0,Dolphins,47.0,,
6,2002-09-15 00:00:00,at Chiefs,-4.0,Jaguars,45.0,,
7,2002-09-15 00:00:00,at Chargers,-12.5,Texans,33.5,,
8,2002-09-15 00:00:00,at Rams,-12.5,Giants,46.0,,
9,2002-09-15 00:00:00,at Vikings,-4.5,Bills,48.0,,
10,2002-09-15 00:00:00,Packers,-2.0,at Saints,45.5,,
11,2002-09-15 00:00:00,at Jets,-1.5,Patriots,42.0,,
12,2002-09-15 00:00:00,at Steelers,-4.0,Raiders,40.0,,
13,2002-09-15 00:00:00,at Seahawks,-3.5,Cardinals,40.5,,
14,2002-09-15 00:00:00,at 49ers,-3.5,Broncos,44.0,,
15,2002-09-16 00:00:00,Eagles,-3.0,at Redskins,44.5,,
0,2002-09-22 00:00:00,Chargers,-2.5,at Cardinals,39.0,,
1,2002-09-22 00:00:00,at Falcons,-7.0,Bengals,41.5,,
2,2002-09-22 00:00:00,Saints,-1.0,at Bears,40.5,,
