Index,Rk,Player,Age,Date,League,Team,At,Opp,Result,GameNum,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,YrdPass,TDPass,IntPass,AttRush,YdsRush,TDRush,Rec,YdsRec,TDRec,Fmb,FGM,FGA,XPM,XPA
2,1,Tony Gonzalez,26.193,9/8/2002,NFL,KAN,@,CLE,W 40-39,1,1,Sun,14.7,19.7,19.7,17.2,0,0,0,0,0,0,0,0,5,87,1,0,,,,
3,2,Randy McMichael,23.072,9/8/2002,NFL,MIA,,DET,W 49-21,1,1,Sun,13.3,17.3,17.3,15.3,0,0,0,0,0,0,0,0,4,73,1,0,,,,
4,3,Wesley Walls,36.194,9/8/2002,NFL,CAR,,BAL,W 10-7,1,1,Sun,9.8,11.8,11.8,10.8,0,0,0,0,0,0,0,0,2,38,1,0,,,,
5,4,Anthony Becht,25.031,9/8/2002,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,9.6,13.6,13.6,11.6,0,0,0,0,0,0,0,0,4,36,1,0,,,,
6,5,Boo Williams,23.078,9/8/2002,NFL,NOR,@,TAM,W 26-20,1,1,Sun,9.2,10.2,10.2,9.7,0,0,0,0,0,0,0,0,1,32,1,0,,,,
7,6,Chad Lewis,30.338,9/8/2002,NFL,PHI,@,TEN,L 24-27,1,1,Sun,8.8,11.8,11.8,10.3,0,0,0,0,0,0,0,0,3,28,1,0,,,,
8,7,Itula Mili,29.141,9/8/2002,NFL,SEA,@,OAK,L 17-31,1,1,Sun,8.3,11.3,11.3,9.8,0,0,0,0,0,0,0,0,3,23,1,0,,,,
9,8,Pete Mitchell,30.334,9/8/2002,NFL,JAX,,IND,L 25-28,1,1,Sun,8.2,11.2,11.2,9.7,0,0,0,0,0,0,0,0,3,22,1,0,,,,
10,9,Billy Miller,25.137,9/8/2002,NFL,HOU,,DAL,W 19-10,1,1,Sun,7.9,8.9,8.9,8.4,0,0,0,0,0,0,0,0,1,19,1,0,,,,
11,10,Alge Crumpler,24.259,9/8/2002,NFL,ATL,@,GNB,L 34-37,1,1,Sun,7.4,9.4,9.4,8.4,0,0,0,0,0,0,0,0,2,14,1,0,,,,
12,11,Christian Fauria,30.352,9/9/2002,NFL,NWE,,PIT,W 30-14,1,1,Mon,7.1,9.1,9.1,8.1,0,0,0,0,0,0,0,0,2,11,1,0,,,,
