Index,Rk,Player,Age,Date,League,Team,At,Opp,Result,GameNum,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,YrdPass,TDPass,IntPass,AttRush,YdsRush,TDRush,Rec,YdsRec,TDRec,Fmb,FGM,FGA,XPM,XPA
12,11,Amani Toomer,27.362,9/5/2002,NFL,NYG,,SFO,L 13-16,1,1,Thu,13.4,22.4,25.4,17.9,0,0,0,0,0,0,0,0,9,134,0,0,,,,
49,46,Ike Hilliard,26.153,9/5/2002,NFL,NYG,,SFO,L 13-16,1,1,Thu,6.5,11.5,11.5,9,0,0,0,0,0,0,0,0,5,65,0,0,,,,
57,54,Terrell Owens*,28.272,9/5/2002,NFL,SFO,@,NYG,W 16-13,1,1,Thu,5.1,9.1,9.1,7.1,0,0,0,0,0,1,10,0,4,41,0,0,,,,
62,59,Ron Dixon,26.1,9/5/2002,NFL,NYG,,SFO,L 13-16,1,1,Thu,4,7,7,5.5,0,0,0,0,0,0,0,0,3,40,0,0,,,,
67,63,J.J. Stokes,29.334,9/5/2002,NFL,SFO,@,NYG,W 16-13,1,1,Thu,3.7,6.7,6.7,5.2,0,0,0,0,0,0,0,0,3,37,0,0,,,,
2,1,Quincy Morgan,24.35,9/8/2002,NFL,CLE,,KAN,L 39-40,1,1,Sun,27.1,36.1,39.1,31.6,0,0,0,0,0,0,0,0,9,151,2,0,,,,
3,2,Marty Booker,26.039,9/8/2002,NFL,CHI,,MIN,W 27-23,1,1,Sun,25.8,33.8,36.8,29.8,0,0,0,0,0,0,0,0,8,198,1,0,,,,
4,3,Qadry Ismail,31.304,9/8/2002,NFL,IND,@,JAX,W 28-25,1,1,Sun,20.4,26.4,26.4,23.4,0,0,0,0,0,0,0,0,6,84,2,0,,,,
5,4,David Boston,24.02,9/8/2002,NFL,ARI,@,WAS,L 23-31,1,1,Sun,19.8,26.8,29.8,23.3,0,0,0,0,0,0,0,0,7,138,1,0,,,,
6,5,Rod Gardner,24.317,9/8/2002,NFL,WAS,,ARI,W 31-23,1,1,Sun,19.1,26.1,29.1,22.6,0,0,0,0,0,0,0,0,7,131,1,0,,,,
7,6,Eric Moulds,29.053,9/8/2002,NFL,BUF,,NYJ,L 31-37,1,1,Sun,17.2,25.2,28.2,21.2,0,0,0,0,0,0,0,0,8,112,1,0,,,,
8,7,Corey Bradford,26.274,9/8/2002,NFL,HOU,,DAL,W 19-10,1,1,Sun,15.9,19.9,19.9,17.9,0,0,0,0,0,0,0,0,4,99,1,0,,,,
10,9,Kevin Johnson,26.055,9/8/2002,NFL,CLE,,KAN,L 39-40,1,1,Sun,14.92,22.9,22.9,18.9,1,1,33,1,0,0,0,0,8,96,0,0,,,,
13,12,Javon Walker,23.329,9/8/2002,NFL,GNB,,ATL,W 37-34,1,1,Sun,12.7,16.7,16.7,14.7,0,0,0,0,0,1,11,0,4,56,1,0,,,,
14,13,Keenan McCardell,32.245,9/8/2002,NFL,TAM,,NOR,L 20-26,1,1,Sun,12.3,18.3,18.3,15.3,0,0,0,0,0,0,0,0,6,63,1,0,,,,
15,14,Donte' Stallworth,21.302,9/8/2002,NFL,NOR,@,TAM,W 26-20,1,1,Sun,12.3,16.3,16.3,14.3,0,0,0,0,0,0,0,0,4,63,1,0,,,,
16,15,Curtis Conway,31.238,9/8/2002,NFL,SDG,@,CIN,W 34-6,1,1,Sun,12.1,17.1,17.1,14.6,0,0,0,0,0,1,22,0,5,39,1,0,,,,
17,16,Wayne Chrebet,29.025,9/8/2002,NFL,NYJ,@,BUF,W 37-31,1,1,Sun,11.8,16.8,16.8,14.3,0,0,0,0,0,0,0,0,5,58,1,0,,,,
18,17,Randy Moss*,25.207,9/8/2002,NFL,MIN,@,CHI,L 23-27,1,1,Sun,11.8,17.8,17.8,14.8,0,0,0,0,0,0,0,0,6,58,1,0,,,,
19,18,Derrius Thompson,25.065,9/8/2002,NFL,WAS,,ARI,W 31-23,1,1,Sun,11.8,15.8,15.8,13.8,0,0,0,0,0,1,13,0,4,45,1,0,,,,
21,20,Ed McCaffrey,34.022,9/8/2002,NFL,DEN,,STL,W 23-16,1,1,Sun,11,13,13,12,0,0,0,0,0,0,0,0,2,50,1,0,,,,
